start	chr	end	strand	pvalue	qvalue	meth.diff	contig_id
21832771	Plantago_genome	21832771	-	2.22645983727575e-07	0.000238926127931654	-18.5159399820993	Plantago_80276
23777791	Plantago_genome	23777791	-	1.35846501013933e-05	0.00217581734075369	53.8579360058898	Plantago_87428
23777819	Plantago_genome	23777819	-	1.22721715722783e-05	0.00209040121158773	54.6876653970694	Plantago_87428
23777915	Plantago_genome	23777915	-	1.28304182133239e-05	0.0021003391084053	55.1609012519796	Plantago_87428
23777943	Plantago_genome	23777943	-	1.25235791832923e-05	0.00209989351144853	53.6960155142763	Plantago_87428
23777974	Plantago_genome	23777974	-	1.15293153616069e-05	0.00204168153631763	54.454552710536	Plantago_87428
23777980	Plantago_genome	23777980	-	1.00138776717774e-05	0.00185277664571919	54.266254221372	Plantago_87428
24544975	Plantago_genome	24544975	-	0.00178252189509571	0.0491100896339171	21.0062471780186	Plantago_90250
24544993	Plantago_genome	24544993	-	0.000876826496149632	0.0318963088938335	26.6839822758114	Plantago_90250
24545040	Plantago_genome	24545040	-	0.00155793240042252	0.0456789701077684	21.44234934774	Plantago_90250
24545060	Plantago_genome	24545060	-	0.00119471764775484	0.0398160512515925	24.3550331327186	Plantago_90250
24545064	Plantago_genome	24545064	-	0.00148553255323094	0.0447826560057179	22.0241069991344	Plantago_90250
24545067	Plantago_genome	24545067	-	0.0015090565587937	0.0449536479777565	21.9241293251162	Plantago_90250
24545116	Plantago_genome	24545116	-	0.00170902651276104	0.0479579953221981	20.5003423160998	Plantago_90250
24545131	Plantago_genome	24545131	-	0.00164349246027576	0.0466578471186031	20.6642740770547	Plantago_90250
24545136	Plantago_genome	24545136	-	0.00181440669659148	0.0496703651409974	19.5929455380019	Plantago_90250
24545178	Plantago_genome	24545178	-	0.00144800889618349	0.0446519845354806	20.8758441380035	Plantago_90250
24545183	Plantago_genome	24545183	-	0.0015122491976365	0.0449536479777565	20.9129403508758	Plantago_90250
24545212	Plantago_genome	24545212	-	0.00157730967897705	0.0458711239727471	20.6657818441777	Plantago_90250
24545221	Plantago_genome	24545221	-	0.00171394988773007	0.0479579953221981	20.2270163353604	Plantago_90250
57519302	Plantago_genome	57519302	-	6.67810378627118e-06	0.00145861631064601	-11.0699466508595	Plantago_211551
57519402	Plantago_genome	57519402	-	6.21853622432374e-06	0.00141983896397148	-11.2488386204337	Plantago_211551
58896109	Plantago_genome	58896109	-	5.38665639079956e-07	0.000385369015691686	-15.0808063702341	Plantago_216615
58896209	Plantago_genome	58896209	-	4.7997264211567e-06	0.00117061096248224	-11.3848774971284	Plantago_216615
58896261	Plantago_genome	58896261	-	5.02573619056198e-05	0.00486021930686198	-10.2699560874113	Plantago_216615
58917377	Plantago_genome	58917377	-	0.00126092925547142	0.0405475833218762	15.2102822886731	Plantago_216693
59942728	Plantago_genome	59942728	-	0.000512273016863209	0.0226226765758533	-10.4478928779895	Plantago_220464
71649934	Plantago_genome	71649934	-	1.22777340670475e-06	0.000527019874565277	-11.2522876652098	Plantago_263667
72269947	Plantago_genome	72269947	-	0.000140786596707614	0.00974716666511578	-25.6523243936076	Plantago_265962
78439159	Plantago_genome	78439159	-	2.12565473971146e-09	7.60361730276785e-06	-19.286561036647	Plantago_288761
80099970	Plantago_genome	80099970	-	0.000961455794355603	0.0337176015503218	-13.0245565777001	Plantago_294905
86796752	Plantago_genome	86796752	-	0.00141497396171782	0.0438855078878201	-11.9210624179507	Plantago_319697
87314664	Plantago_genome	87314664	-	0.000132596271823429	0.00936130736459946	-14.0386416540312	Plantago_321617
88073177	Plantago_genome	88073177	+	6.20354067004631e-06	0.00141983896397148	37.8542112523783	Plantago_324424
92315079	Plantago_genome	92315079	-	4.21916691977719e-06	0.00105294826025419	15.7247627264884	Plantago_340148
102880631	Plantago_genome	102880631	-	1.73799797249474e-05	0.00245405590908916	36.3577228669834	Plantago_379273
102880648	Plantago_genome	102880648	-	1.61677959784536e-05	0.00240559439638746	36.4841878358628	Plantago_379273
102880650	Plantago_genome	102880650	-	1.78850747546891e-05	0.00249257832462734	36.5546263990971	Plantago_379273
102880681	Plantago_genome	102880681	-	1.90888988358744e-05	0.00262060083759834	36.3945901597795	Plantago_379273
102880683	Plantago_genome	102880683	-	1.62905485791894e-05	0.00240559439638746	36.4178045032392	Plantago_379273
102880802	Plantago_genome	102880802	-	1.29176815805121e-05	0.0021003391084053	36.2233761897891	Plantago_379273
102880840	Plantago_genome	102880840	-	9.21552969959204e-06	0.00176120584014422	36.8776601084627	Plantago_379273
102880865	Plantago_genome	102880865	-	8.84425303781946e-06	0.00175357178829212	36.6528626046931	Plantago_379273
121095843	Plantago_genome	121095843	-	0.000174599576398681	0.0112195514407666	-14.3982172044519	Plantago_446241
138439779	Plantago_genome	138439779	-	8.86964084785869e-05	0.00710313413263726	-20.1327149023134	Plantago_510005
190088590	Plantago_genome	190088590	-	0.000340322029827399	0.0175719738385366	-12.4694608813187	Plantago_700092
190489985	Plantago_genome	190489985	-	0.000717448114707379	0.0280988609667467	11.6832052388438	Plantago_701568
190551626	Plantago_genome	190551626	-	0.000843512216752674	0.0313856810675272	-55.9535596416785	Plantago_701794
191467329	Plantago_genome	191467329	-	0.00135237897095061	0.0427512356901972	14.2026107286121	Plantago_705161
192021081	Plantago_genome	192021081	-	0.000671505524770535	0.0271927102901074	16.9170003096537	Plantago_707197
193879033	Plantago_genome	193879033	-	1.64119048951073e-05	0.00240559439638746	-18.6960377270547	Plantago_714027
194170851	Plantago_genome	194170851	-	0.00101314202566775	0.0352620852901509	-50.564772380173	Plantago_715100
194926006	Plantago_genome	194926006	-	7.90683840272971e-05	0.00657751628742934	-26.5415366909961	Plantago_717877
196241304	Plantago_genome	196241304	-	1.592030534898e-06	0.000569480579114574	-10.2223412938445	Plantago_722712
197021629	Plantago_genome	197021629	-	3.18381978032442e-05	0.00371372232808395	17.8110779367808	Plantago_725581
197021713	Plantago_genome	197021713	-	6.85113182261867e-06	0.00145861631064601	17.6192709583216	Plantago_725581
